Activity,ALogP,ALogp2,AMR,nHBAcc,nHBAcc2,nHBAcc3,nHBAcc_Lipinski,nHBDon,nHBDon_Lipinski,MW,AMW
inactive,1.5903,2.52905409,45.9565,2,3,3,3,1,1,250.1568946,6.253922364
inactive,-1.0844,1.17592336,19.6296,3,3,3,3,2,3,165.0789786,7.177346895
inactive,0.9445,0.89208025,28.222,2,3,3,3,1,1,214.0396719,8.561586876
inactive,0.3274,0.10719076,44.2498,2,3,3,3,1,1,248.1412445,6.53003275
inactive,0.6154,0.37871716,41.3382,2,3,3,3,1,1,234.1255944,6.689302698
inactive,0.5182,0.26853124,31.9236,2,3,3,3,1,1,206.0942943,7.106699804
inactive,0.813,0.660969,41.2777,2,3,3,3,1,1,234.1255944,6.689302698
inactive,1.2565,1.57879225,66.4285,4,5,5,5,1,1,332.1623739,6.920049456
inactive,-2.4224,5.86802176,57.4461,7,7,6,7,3,3,258.1215717,7.170043658
inactive,-2.2205,4.93062025,44.0866,7,7,6,7,3,3,292.1059216,7.894754638
inactive,-1.9776,3.91090176,69.0325,8,9,8,9,2,2,392.1583511,7.541506752
inactive,-1.7757,3.15311049,55.673,8,9,8,9,2,2,426.142701,8.040428322
active,1.4479,2.09641441,49.2552,3,4,4,4,1,1,302.0112642,9.742298846
active,0.9045,0.81812025,29.3438,3,3,3,3,1,1,233.9850495,10.63568407
inactive,0.3047,0.09284209,26.7117,3,3,3,3,1,1,243.9735062,11.08970483
inactive,1.1006,1.21132036,35.9177,3,3,3,3,1,1,272.0048064,9.714457371
inactive,0.1486,0.02208196,19.016,2,3,3,3,1,1,186.0083718,9.789914303
active,0.0183,3.35E-04,39.2924,6,7,6,7,3,3,382.9963424,10.63878729
active,-0.726,0.527076,33.6768,6,7,6,7,3,3,349.0353148,9.695425411
active,-1.4703,2.16178209,28.0612,6,7,6,7,3,3,315.0742871,8.752063532
inactive,-2.8242,7.97610564,53.0671,6,7,6,7,3,3,337.1525375,7.173458244
inactive,-0.5815,0.33814225,36.6603,6,7,6,7,3,3,392.9847992,10.91624442
inactive,-1.3842,1.91600964,38.5091,6,7,6,7,3,3,267.0742871,8.346071473
inactive,0.5769,0.33281361,44.8275,4,5,4,5,2,2,361.1080858,8.024624129
inactive,-1.6524,2.73042576,39.3599,5,6,5,6,1,1,353.1263227,7.847251616
inactive,-0.0399,0.00159201,47.6458,4,4,3,4,1,1,199.1208434,6.423253013
inactive,-1.5613,2.43765769,33.0682,4,4,3,4,1,1,233.1051933,7.284537292
inactive,-1.6872,2.84664384,34.8107,5,6,5,6,1,1,339.1106726,8.074063634
inactive,-0.131,0.017161,53.9375,5,6,5,6,1,1,319.1419728,7.253226654
inactive,-0.0962,0.00925444,58.4867,5,6,5,6,1,1,333.1576228,7.08846006
inactive,-2.4511,6.00789121,48.234,6,7,6,7,2,2,397.1525375,7.637548797
inactive,-2.0431,4.17425761,40.9918,5,7,6,7,1,1,369.1212373,8.024374725
active,0.6113,0.37368769,61.2587,5,6,5,6,2,2,359.0327279,9.448229683
active,1.4081,1.98274561,56.8662,3,4,4,4,1,1,330.0425644,8.920069307
active,2.2438,5.03463844,58.4612,3,4,4,4,1,1,330.0425644,8.920069307
active,1.1201,1.25462401,59.7778,3,4,4,4,1,1,344.0582144,8.60145536
active,1.9658,3.86436964,60.6163,3,4,4,4,1,1,342.0425644,9.001120115
active,0.8321,0.69239041,62.6894,3,4,4,4,1,1,358.0738645,8.327299174
inactive,0.5715,0.32661225,68.8697,5,6,5,6,2,2,387.0640281,8.796909729
active,2.6313,6.92373969,69.7773,2,3,3,3,0,0,343.1105843,7.624679652
active,1.2299,1.51265401,40.0497,3,4,4,4,1,1,273.9799641,10.95919856
inactive,1.6477,2.71491529,55.1591,3,4,4,4,1,1,316.0269143,9.294909244
active,0.9269,0.85914361,60.1914,3,4,4,4,1,1,344.0582144,8.60145536
active,1.1068,1.22500624,62.1366,3,4,4,4,1,1,356.0582144,8.684346693
inactive,0.6573,0.43204329,55.2709,4,5,5,5,1,1,330.0061788,10.00018724
active,1.3373,1.78837129,46.9782,2,5,5,6,1,1,319.0014278,10.29036864
active,0.5249,0.27552001,32.6692,2,5,5,6,1,1,237.0637225,8.466561516
active,-0.2031,0.04124961,43.0628,2,6,6,7,1,1,281.0899372,8.031141063
active,0.9489,0.90041121,35.1815,2,4,4,5,1,1,255.0298355,9.445549462
active,1.4479,2.09641441,49.2552,3,4,4,4,1,1,302.0112642,9.742298846
active,1.2082,1.45974724,49.4266,3,4,4,4,1,1,299.9956142,10.34467635
active,0.6872,0.47224384,48.142,3,4,4,4,1,1,304.0269143,9.212936797
inactive,0.4771,0.22762441,61.4131,4,5,5,5,1,1,347.0691134,8.465100328
inactive,1.9337,3.73919569,56.1673,3,4,4,4,1,1,381.9374264,11.5738614
inactive,0.9282,0.86155524,55.6009,3,4,4,4,1,1,335.9989853,9.882323097
inactive,-0.2088,0.04359744,59.032,5,6,6,6,2,2,367.9888145,10.22191151
inactive,1.2966,1.68117156,95.4355,6,8,8,8,2,2,604.0225284,9.742298846
inactive,1.217,1.481089,110.6575,6,8,8,8,2,2,660.0851287,8.920069307
inactive,1.3575,1.84280625,42.7012,3,4,4,4,1,1,364.0269143,9.579655639
inactive,0.9866,0.97337956,60.2308,3,4,4,4,1,1,356.0582144,8.684346693
inactive,0.9468,0.89643024,67.8418,3,4,4,4,1,1,384.0895145,8.172117331
active,1.3268,1.76039824,41.3973,3,4,4,4,1,1,341.9520351,11.79144949
active,1.8239,3.32661121,36.1007,2,3,3,3,1,1,321.8840183,14.63109174
active,0.8929,0.79727041,24.6316,2,3,3,3,1,1,219.9693994,11.57733681
inactive,1.6372,2.68042384,30.2472,2,3,3,3,1,1,253.9304271,13.36475932
inactive,0.7906,0.62504836,24.5181,2,3,3,3,1,1,200.0240218,9.092000992
inactive,0.2931,0.08590761,21.9995,2,3,3,3,1,1,229.9578562,12.10304506
inactive,0.8244,0.67963536,27.3466,2,3,3,3,1,1,277.9439921,14.62863116
inactive,1.3303,1.76969809,29.9067,2,3,3,3,1,1,194.0942943,6.931939082
inactive,0.6883,0.47375689,24.4046,2,3,3,3,1,1,180.0786442,7.20314577
inactive,0.0972,0.00944784,26.8906,2,3,3,3,1,1,198.0350652,8.610220225
inactive,1.4326,2.05234276,30.0202,2,3,3,3,1,1,214.0396719,8.561586876
inactive,0.6883,0.47375689,24.4046,2,3,3,3,1,1,180.0786442,7.20314577
inactive,0.9351,0.87441201,27.5016,2,3,3,3,1,1,243.9735062,11.08970483
inactive,-0.6993,0.48902049,28.032,2,5,5,5,1,1,212.0684735,7.854387907
inactive,0.6883,0.47375689,24.4046,2,3,3,3,1,1,180.0786442,7.20314577
inactive,0.8933,0.79798489,25.1904,2,2,2,2,1,1,201.9855281,10.63081727
inactive,2.5475,6.48975625,23.9373,2,7,7,2,1,1,257.9773914,13.57775744
inactive,0.8929,0.79727041,24.6316,2,3,3,3,1,1,219.9693994,11.57733681
inactive,0.8929,0.79727041,24.6316,2,3,3,3,1,1,219.9693994,11.57733681
inactive,1.0378,1.07702884,28.1739,2,2,2,2,1,1,245.9350126,12.94394803
inactive,-0.3779,0.14280841,27.6918,3,4,4,4,1,1,195.0895433,7.22553864
inactive,0.0061,3.72E-05,30.9305,3,4,4,4,1,1,210.0892089,7.24445548
inactive,2.3819,5.67344761,36.4216,2,2,2,2,1,1,269.9075834,14.20566229
inactive,-0.6993,0.48902049,28.032,2,5,5,5,1,1,212.0684735,7.854387907
inactive,-0.5957,0.35485849,13.4004,2,3,3,3,1,1,152.0473441,8.002491796
inactive,1.0079,1.01586241,31.6018,1,2,2,2,0,0,192.1150298,6.403834325
inactive,-1.3456,1.81063936,17.6225,3,4,4,4,2,3,167.0582431,7.955154436
inactive,1.5771,2.48724441,33.0037,2,3,3,3,1,1,257.9891563,10.31956625
inactive,-0.7511,0.56415121,35.3478,2,6,6,6,1,1,242.0790382,7.809001231
inactive,0.0644,0.00414736,17.2904,2,5,5,6,1,1,197.0324223,9.382496301
active,0.9045,0.81812025,29.3438,3,3,3,3,1,1,233.9850495,10.63568407
active,0.9045,0.81812025,29.3438,3,3,3,3,1,1,233.9850495,10.63568407
active,0.1602,0.02566404,23.7282,3,3,3,3,1,1,200.0240218,9.092000992
active,1.1527,1.32871729,34.0432,3,3,3,3,1,1,248.0006995,9.920027982
active,0.1084,0.01175056,31.044,3,4,4,4,1,1,230.0345865,8.847484097
active,0.6999,0.48986001,29.1168,3,3,3,3,1,1,194.0942943,6.931939082
inactive,0.6999,0.48986001,29.1168,3,3,3,3,1,1,194.0942943,6.931939082
inactive,1.1006,1.21132036,35.9177,3,3,3,3,1,1,272.0048064,9.714457371
inactive,0.836,0.698896,32.0588,3,3,3,3,1,1,291.9596421,13.27089282
inactive,-0.7382,0.54493924,19.7317,3,4,4,4,1,1,258.0892089,7.820885119
inactive,1.3419,1.80069561,34.6189,3,3,3,3,1,1,208.1099444,6.713224012
inactive,1.0494,1.10124036,32.8861,2,2,2,2,1,1,259.9506626,11.81593921
inactive,0.0579,0.00335241,23.6147,3,3,3,3,1,1,180.0786442,7.20314577
inactive,0.6999,0.48986001,29.1168,3,3,3,3,1,1,194.0942943,6.931939082
inactive,-0.5893,0.34727449,28.5091,3,3,3,3,2,3,197.0510496,8.2104604
inactive,-0.6359,0.40436881,25.4284,3,4,4,4,1,1,196.0735589,7.541290726
inactive,-0.166,0.027556,35.9022,4,5,5,5,2,2,301.9789856,10.78496377
inactive,-0.7589,0.57592921,26.0428,2,3,3,3,1,1,192.0786442,7.387640163
inactive,-0.7498,0.56220004,15.0195,2,4,4,4,1,1,242.0579088,8.644925314
inactive,0.3812,0.14531344,35.618,2,4,4,4,1,1,222.0892089,7.402973631
inactive,-0.1395,0.01946025,18.0014,2,3,3,3,1,1,240.0786442,8.002621475
inactive,0.8534,0.72829156,34.5137,3,5,5,5,1,1,334.0608013,8.791073717
inactive,-0.3063,0.09381969,27.3774,4,4,4,4,2,2,208.0735589,7.706428106
inactive,0.0982,0.00964324,22.4139,3,3,3,3,1,1,276.055322,8.626728811